Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
04-07-17,GTPL Hathway,484.8,1.48,2.48,0.99,170.00,170.00,171.65,0.97,269.00,58.24
30-06-17,CDSL,523.99,148.71,563.03,23.83,149.00,250.00,261.60,75.57,"1,534.00",929.53
29-06-17,Eris Life,1741.1,4.68,0.45,3.51,603.00,612.00,601.05,-0.32,735.65,22.00
27-06-17,Tejas Networks,326.69,2.16,0.48,3.10,257.00,257.70,263.30,2.45,446.15,73.60
06-06-17,IndiGrid InvIT ,2250,1.14,1.60,0.00,100.00,99.70,95.08,-4.92,145.00,45.00
29-05-17,PSP Projects,211.68,8.38,10.39,6.47,210.00,195.00,208.95,-0.5,477.00,127.14
19-05-17,HUDCO,1224,55.45,330.36,10.79,58.00,76.50,72.50,25,40.20,-30.69
09-05-17,S Chand and Co,325,44.27,204.65,6.07,670.00,675.85,675.85,0.87,115.00,-82.84
05-04-17,Shankara Buildi,232.96,51.62,90.68,15.35,460.00,545.00,632.80,37.57,509.85,10.84
31-03-17,CL Educate,238.95,3.65,0.21,1.63,500.00,398.00,208.95,-58.21,121.05,-75.79
21-03-17,Avenue Supermar,1870,144.61,277.74,7.30,299.00,604.00,640.75,114.3,"4,721.30",1479.03
17-03-17,Music Broadcast,488.53,39.78,109.13,9.85,333.00,413.00,59.70,-82.07,23.15,-93.05
03-02-17,BSE Limited,1243,48.64,159.03,6.48,806.00,1085.00,1069.20,32.66,"1,925.80",138.93
19-12-16,Laurus Labs,560.7,10.54,3.57,1.58,428.00,489.90,96.10,-77.55,505.80,18.18
09-12-16,Sheela Foam,178.5,14.51,3.35,0.44,730.00,860.00,1032.00,41.37,"3,299.75",352.02
08-11-16,Varun Beverages,1114,4.94,0.42,0.82,445.00,430.00,205.29,-53.87,893.85,100.87
07-11-16,PNB Housing Fin,3000,37.33,86.17,1.32,775.00,860.00,890.60,14.92,558.60,-27.92
19-10-16,Endurance Techn,1161,1.70,0.13,0.82,472.00,572.00,647.70,37.22,"1,737.25",268.06
04-10-16,HPL Electric & ,361,5.77,22.20,3.31,202.00,190.00,189.05,-6.41,61.50,-69.55
29-09-16,ICICI Prudentia,6057,11.83,28.55,1.42,334.00,329.00,297.65,-10.88,600.05,79.66
27-09-16,GNA Axles,130.41,17.18,217.47,11.84,207.00,252.00,233.45,12.78,726.55,250.99
23-09-16,L&T Technology,900,5.01,1.03,1.74,860.00,900.00,865.10,0.59,"5,328.55",519.60
31-08-16,RBL Bank,1100,85.08,198.06,5.70,225.00,274.40,299.30,33.02,193.65,-13.93
12-08-16,S P Apparels,215,1.00,0.45,0.54,268.00,275.00,295.00,10.07,397.50,48.32
11-08-16,Dilip Buildcon,430,0.00,0.00,0.00,219.00,240.00,251.95,15.05,530.60,142.28
01-08-16,Advanced Enzyme,60,94.03,393.10,11.67,896.00,1210.00,235.66,-73.7,336.55,-62.44
21-07-16,L&T Infotech,1242,19.91,10.76,7.39,710.00,667.00,697.65,-1.74,"6,668.80",839.27
12-07-16,Quess Corp,400,59.02,392.21,31.23,317.00,500.00,503.00,58.68,866.90,173.47
01-07-16,Mahanagar Gas,1039.64,72.84,191.61,6.82,421.00,540.00,519.90,23.49,907.15,115.48
19-05-16,Parag Milk Food,764.3,1.15,3.08,2.12,215.00,230.00,247.80,15.26,115.65,-46.21
10-05-16,Ujjivan Financi,358.16,33.84,135.45,4.02,210.00,231.90,231.60,10.29,143.25,-31.79
09-05-16,Thyrocare Techn,479.21,73.18,225.30,8.73,446.00,662.00,618.10,38.59,"1,108.35",148.51
21-04-16,Equitas Holding,2159,14.93,57.29,1.40,110.00,145.10,135.25,22.95,118.00,7.27
01-04-16,Bharat Wire Rop,70,1.01,2.02,2.08,45.00,47.25,45.40,0.89,57.80,28.44
18-02-16,Quick Heal Tech,450,4.34,36.69,3.82,321.00,305.00,254.45,-20.73,224.70,-30.00
12-02-16,TeamLease Ser.,273.68,26.97,185.24,10.61,850.00,860.00,1021.95,20.23,"4,287.40",404.40
08-02-16,Precision Camsh,410,2.62,0.73,2.01,186.00,165.00,177.25,-4.7,146.15,-21.42
06-01-16,Narayana Hruda,613,0.01,0.01,0.13,250.00,291.00,336.70,34.68,572.35,128.94
23-12-15,Alkem Lab,1349.6,57.19,129.96,3.17,1050.00,1380.00,1381.45,31.57,"3,414.90",225.23
23-12-15,Dr Lal PathLab,638,63.56,61.28,4.24,550.00,717.00,824.15,49.85,"3,721.00",576.55
16-11-15,S H Kelkar,200,0.00,0.00,0.00,180.00,216.00,207.30,15.17,150.75,-16.25
10-11-15,Interglobe Avi,3000,17.80,3.57,0.92,765.00,868.00,878.45,14.83,"1,892.00",147.32
02-11-15,Coffee Day,1150,4.39,0.54,0.90,328.00,313.00,270.15,-17.64,37.40,-88.60
21-09-15,Prabhat Dairy,300,0.88,1.42,0.34,115.00,113.00,116.35,1.17,99.65,-13.35
16-09-15,Sadbhav Infra,425,3.04,1.66,1.69,103.00,111.00,106.15,3.06,13.75,-86.65
10-09-15,Pennar Eng,156.19,0.00,0.04,0.11,178.00,177.95,157.50,-11.52,63.85,-64.13
10-09-15,Shree Pushkar,70,0.97,2.09,1.54,65.00,60.05,63.00,-3.08,210.90,224.46
09-09-15,Navkar Corp,600,6.47,0.90,1.62,155.00,152.00,166.40,7.35,40.25,-74.03
26-08-15,Power Mech,273.22,27.53,133.22,3.42,640.00,600.00,585.75,-8.48,978.85,52.95
11-08-15,Syngene Intl,550,51.47,90.24,4.78,250.00,295.00,155.20,-37.92,587.00,134.80
09-07-15,Manpasand Bever,400,1.99,0.38,1.16,320.00,291.00,163.43,-48.93,6.14,-98.08
26-05-15,PNC Infratech,488,4.51,0.65,0.28,378.00,381.00,72.04,-80.94,297.70,-21.24
14-05-15,UFO Moviez,600,4.49,1.17,1.02,625.00,600.00,598.80,-4.19,97.30,-84.43
06-05-15,MEP Infra,324,1.02,1.51,0.97,63.00,63.00,60.95,-3.25,19.65,-68.81
30-04-15,VRL Logistics,473.88,58.22,250.86,7.92,205.00,288.00,293.30,43.07,464.50,126.59
09-04-15,Inox Wind,700,35.68,35.38,2.15,325.00,400.00,438.00,34.77,149.70,-53.94
06-04-15,Imagicaaworld,467,1.17,0.49,1.37,180.00,167.95,191.25,6.25,10.10,-94.39
19-03-15,Ortel Comm,240,1.01,0.09,0.39,181.00,181.00,171.95,-5,1.10,-99.39
19-12-14,Monte Carlo,342.28,13.96,1.71,6.96,645.00,585.00,566.40,-12.19,579.05,-10.22
01-10-14,Shemaroo Ent,120,5.69,8.64,7.79,170.00,180.00,171.00,0.59,128.15,-24.62
23-09-14,Sharda Crop,352,32.06,251.35,5.85,156.00,254.10,231.45,48.37,313.60,101.03
12-09-14,Snowman Logist,197.4,16.98,221.79,41.26,47.00,75.00,78.75,67.55,39.15,-16.70
09-05-14,Wonderla,181.25,16.71,159.04,7.56,125.00,164.75,157.60,26.08,203.50,62.80
05-06-13,Just Dial,950,10.12,22.34,3.53,530.00,590.00,611.45,15.37,717.35,35.35
01-04-13,Repco Home,270.38,3.39,0.35,0.51,172.00,159.95,160.85,-6.48,304.20,76.86
28-12-12,INDUS TOWERS,4533.6,2.84,0.10,0.06,220.00,200.00,191.20,-13.09,276.20,25.55
27-12-12,PC Jeweller,609.3,7.33,18.12,1.68,135.00,137.00,74.50,-44.81,24.65,-81.74
26-12-12,CARE Ratings,539.98,45.80,110.96,6.18,750.00,940.00,923.95,23.19,629.05,-16.13
06-12-12,Tara Jewels,0,1.49,3.10,2.05,230.00,242.00,229.95,-0.02,0.76,-99.67
18-07-12,VKS Projects,55,1.15,0.38,1.13,55.00,55.80,1.57,-97.15,0.04,-99.93
30-05-12,Speciality Rest,181.96,4.68,2.19,0.55,150.00,153.00,160.65,7.1,94.35,-37.10
09-05-12,Tribhovandas,210,1.29,1.91,0.68,120.00,115.00,111.20,-7.33,78.80,-34.33
12-04-12,MT Educare,99,6.01,8.00,2.17,80.00,86.05,90.35,12.94,8.39,-89.51
12-04-12,NBCC (India),127.2,7.07,1.70,3.40,106.00,100.00,6.47,-93.9,43.60,-58.87
